,dist,sparsity,segnums,target_probs
0,41.927,0.3020833333333333,1.0,0.79
1,40.824,0.3020833333333333,1.0,0.86
2,43.485,0.3020833333333333,1.0,0.77
3,40.47800000000001,0.3020833333333333,1.0,0.87
4,50.202,0.3020833333333333,1.0,0.79
5,43.477000000000004,0.3020833333333333,1.0,0.81
6,31.692,0.3020833333333333,1.0,0.73
7,40.486000000000004,0.3020833333333333,1.0,0.88
8,37.97,0.3020833333333333,1.0,0.89
9,50.933,0.3020833333333333,1.0,0.82
10,17.674,0.3020833333333333,1.0,0.86
11,34.716,0.3125,2.0,0.87
12,44.572,0.3020833333333333,1.0,0.72
13,50.495000000000005,0.3020833333333333,1.0,0.74
14,78.67399999999999,0.3020833333333333,1.0,0.78
15,57.77,0.3020833333333333,1.0,0.87
16,45.043,0.3020833333333333,1.0,0.87
17,45.754000000000005,0.3020833333333333,1.0,0.9
18,26.08,0.3020833333333333,1.0,0.89
19,34.804,0.3020833333333333,1.0,0.9
20,67.806,0.3020833333333333,1.0,0.85
21,40.288,0.3020833333333333,1.0,0.82
22,42.903999999999996,0.3020833333333333,1.0,0.9
23,43.343,0.3020833333333333,1.0,0.82
24,56.07599999999999,0.3020833333333333,1.0,0.93
25,34.572,0.3020833333333333,1.0,0.83
26,39.855999999999995,0.3020833333333333,1.0,0.77
27,44.64399999999999,0.3020833333333333,1.0,0.9
28,27.246000000000002,0.3020833333333333,1.0,0.91
29,46.158,0.3020833333333333,1.0,0.82
30,46.623999999999995,0.3020833333333333,1.0,0.88
31,41.038,0.3020833333333333,1.0,0.83
32,56.855,0.3020833333333333,1.0,0.79
33,37.187,0.3020833333333333,1.0,0.99
34,34.340999999999994,0.3020833333333333,1.0,0.78
35,47.919,0.3020833333333333,1.0,0.83
36,44.184,0.3020833333333333,1.0,0.85
37,41.791,0.3020833333333333,1.0,0.89
38,65.422,0.3020833333333333,1.0,0.86
39,44.432,0.3020833333333333,1.0,0.88
40,43.339,0.3020833333333333,1.0,0.79
41,50.724000000000004,0.3020833333333333,1.0,0.88
42,26.804,0.3020833333333333,1.0,0.91
43,39.259,0.3020833333333333,1.0,0.87
44,44.129,0.3020833333333333,1.0,0.86
45,39.691,0.3020833333333333,1.0,0.88
46,42.442,0.3020833333333333,1.0,0.79
47,31.802,0.3020833333333333,1.0,0.79
48,42.625,0.3020833333333333,1.0,0.85
49,34.521,0.3020833333333333,1.0,0.86
50,42.483999999999995,0.3020833333333333,1.0,0.8
51,71.15400000000001,0.3020833333333333,1.0,0.84
52,49.18300000000001,0.3020833333333333,1.0,0.83
53,49.845,0.3125,2.0,0.81
54,47.99700000000001,0.3020833333333333,1.0,0.9
55,39.199,0.3020833333333333,1.0,0.79
56,41.94,0.3020833333333333,1.0,0.79
57,56.405,0.3020833333333333,1.0,0.72
58,41.656000000000006,0.3020833333333333,1.0,0.78
59,58.221000000000004,0.3020833333333333,1.0,0.86
60,62.961999999999996,0.3020833333333333,1.0,0.87
61,45.123999999999995,0.3020833333333333,1.0,0.82
62,48.519,0.3020833333333333,1.0,0.86
63,34.626999999999995,0.3020833333333333,1.0,0.81
64,72.267,0.3020833333333333,1.0,0.76
65,58.047000000000004,0.3020833333333333,1.0,0.71
66,44.206,0.3020833333333333,1.0,0.83
67,45.207,0.3020833333333333,1.0,0.91
68,46.40599999999999,0.3020833333333333,1.0,0.8
69,41.351,0.3020833333333333,1.0,0.85
70,40.693,0.3020833333333333,1.0,0.75
71,42.611000000000004,0.3020833333333333,1.0,0.8
72,33.147000000000006,0.3125,2.0,0.89
73,36.969,0.3020833333333333,1.0,0.82
74,48.613,0.3020833333333333,1.0,0.88
75,36.131,0.3020833333333333,1.0,0.8
76,39.025000000000006,0.3020833333333333,1.0,0.91
77,54.58,0.3020833333333333,1.0,0.88
78,42.694,0.3020833333333333,1.0,0.82
79,45.629999999999995,0.3020833333333333,1.0,0.78
80,40.781000000000006,0.3020833333333333,1.0,0.78
81,54.465,0.3020833333333333,1.0,0.89
82,32.719,0.3020833333333333,1.0,0.91
83,44.7,0.3020833333333333,1.0,0.78
84,63.931,0.3020833333333333,1.0,0.84
85,20.564,0.3020833333333333,1.0,0.87
86,41.81700000000001,0.3020833333333333,1.0,0.86
87,45.503,0.3020833333333333,1.0,0.71
88,49.997,0.3125,2.0,0.85
89,44.833,0.3020833333333333,1.0,0.87
90,29.189999999999998,0.3125,2.0,0.86
91,64.786,0.3020833333333333,1.0,0.84
92,56.16,0.3020833333333333,1.0,0.8
93,45.146,0.3020833333333333,1.0,0.77
94,44.294,0.3020833333333333,1.0,0.84
95,40.224,0.3020833333333333,1.0,0.85
96,38.152,0.3020833333333333,1.0,0.82
97,64.42699999999999,0.3020833333333333,1.0,0.87
98,25.146,0.3020833333333333,1.0,0.94
99,49.093,0.3020833333333333,1.0,0.83
